"atr1" "atr2" "klasa"
"186" 4 80 "2"
"187" 4 84 "2"
"188" 5 86 "2"
"189" 6 88 "2"
"190" 8 88 "2"
"191" 13 86 "2"
"192" 11 86 "2"
"193" 9 85 "2"
"194" 14 89 "2"
"195" 15 91 "2"
"196" 5 84 "2"
"197" 8 82 "2"
"198" 7 77 "2"
"199" 6 72 "2"
"200" 5 65 "2"
"201" 6 65 "2"
"202" 6 64 "2"
"203" 11 75 "2"
"204" 14 79 "2"
"205" 14 82 "2"
"206" 16 89 "2"
"207" 21 94 "2"
"208" 24 96 "2"
"209" 28 97 "2"
"210" 26 92 "2"
"211" 22 88 "2"
"212" 19 90 "2"
"213" 21 91 "2"
"214" 22 90 "2"
"215" 24 91 "2"
"216" 25 92 "2"
"217" 24 96 "2"
"218" 20 95 "2"
"219" 18 91 "2"
"220" 19 90 "2"
"221" 19 89 "2"
"222" 19 89 "2"
"223" 18 87 "2"
"224" 20 87 "2"
"225" 21 86 "2"
"226" 17 83 "2"
"227" 16 84 "2"
"228" 16 87 "2"
"229" 17 86 "2"
"230" 18 86 "2"
"231" 18 80 "2"
"232" 16 79 "2"
"233" 16 80 "2"
"234" 14 83 "2"
"235" 12 83 "2"
"236" 13 79 "2"
"237" 14 74 "2"
"238" 10 71 "2"
"239" 11 74 "2"
"240" 10 74 "2"
"241" 8 73 "2"
"242" 3 70 "2"
"243" 4 66 "2"
"244" 5 67 "2"
"245" 12 75 "2"
"246" 13 89 "2"
"247" 15 90 "2"
"248" 17 94 "2"
"249" 12 94 "2"
"250" 6 95 "2"
"251" 11 94 "2"
"252" 15 87 "2"
"253" 10 81 "2"
"254" 9 78 "2"
"255" 6 75 "2"
"256" 4 77 "2"
"257" 2 83 "2"
"258" 3 89 "2"
"259" 7 90 "2"
"260" 10 89 "2"
"261" 10 86 "2"
"262" 8 82 "2"
"263" 6 83 "2"
"264" 7 90 "2"
